"id","city","region","href","name","style","area","orientation","decoration","elevator","floor","build_year","sign_time","unit_price","total_price","fangchan_class","school","subway"
68,"nj","高淳","https://nj.lianjia.com/chengjiao/103101407171.html","龙湖文馨苑","2室2厅","96.67平米","南 北","其他","有电梯","低楼层(共11层)","2007年建板塔结合","2017.09.03","25862","250","房屋满两年","None","None"
69,"nj","高淳","https://nj.lianjia.com/chengjiao/103101638140.html","龙湖文馨苑","2室2厅","93.66平米","南 北","其他","有电梯","高楼层(共11层)","2007年建板塔结合","2017.08.29","26052","244","房屋满两年","None","None"
70,"nj","高淳","https://nj.lianjia.com/chengjiao/103100801510.html","龙湖文馨苑","1室1厅","40.78平米","南","简装","无电梯","高楼层(共6层)","2007年建板塔结合","2017.07.02","25258","103","房屋满两年","None","None"
71,"nj","高淳","https://nj.lianjia.com/chengjiao/103101102941.html","双拜巷教师公寓","3室1厅","77.77平米","南","精装","无电梯","高楼层(共7层)","2000年建板楼","2017.07.30","26746","208","房屋满两年","None","距2号线孝陵卫1185米"
72,"nj","高淳","https://nj.lianjia.com/chengjiao/103101264044.html","双拜巷教师公寓","2室1厅","66.19平米","南 北","精装","无电梯","低楼层(共7层)","2000年建板楼","2017.07.12","25684","170","None","None","None"
73,"nj","高淳","https://nj.lianjia.com/chengjiao/103101309866.html","双拜巷教师公寓","2室1厅","66.48平米","南 北","精装","无电梯","高楼层(共7层)","2001年建板楼","2017.05.25","24820","165","房屋满五年","None","距2号线孝陵卫1155米"
74,"nj","高淳","https://nj.lianjia.com/chengjiao/103101979505.html","万达紫金明珠","3室2厅","108.93平米","南 北","其他","有电梯","高楼层(共9层)","2005年建板楼","2018.03.28","28000","305","房屋满五年","None","None"
75,"nj","高淳","https://nj.lianjia.com/chengjiao/103102196700.html","万达紫金明珠","2室2厅","84.45平米","南 北","其他","有电梯","中楼层(共9层)","2005年建板楼","2018.03.28","28254","238.6","房屋满两年","None","None"
76,"nj","高淳","https://nj.lianjia.com/chengjiao/103102085187.html","万达紫金明珠","1室1厅","43.05平米","南","简装","有电梯","中楼层(共10层)","2006年建板楼","2018.03.27","24553","105.7","None","None","None"
77,"nj","高淳","https://nj.lianjia.com/chengjiao/103100040812.html","裕华名居","2室1厅","90.64平米","南 北","精装","有电梯","中楼层(共19层)","板楼","2015.12.21","24714","224","房屋满五年","None","None"
78,"nj","高淳","https://nj.lianjia.com/chengjiao/103088988852.html","裕华名居","2室2厅","86.83平米","南 北","毛坯","有电梯","中楼层(共19层)","2000年建板楼","2015.12.13","24877","216","None","None","None"
79,"nj","高淳","https://nj.lianjia.com/chengjiao/103100039394.html","裕华名居","3室2厅","126.99平米","东南","精装","有电梯","高楼层(共19层)","2000年建板楼","2015.12.07","22916","291","None","None","None"
80,"nj","高淳","https://nj.lianjia.com/chengjiao/103101304531.html","雅居乐花园","2室1厅","78.98平米","南","其他","有电梯","高楼层(共11层)","2009年建板塔结合","2017.07.30","37985","300","None","None","None"
81,"nj","高淳","https://nj.lianjia.com/chengjiao/103101351104.html","雅居乐花园","2室1厅","56.02平米","北","精装","有电梯","中楼层(共11层)","2009年建板塔结合","2017.07.23","34988","196","房屋满两年","None","None"
82,"nj","高淳","https://nj.lianjia.com/chengjiao/103101418466.html","雅居乐花园","2室1厅","53.19平米","北","精装","有电梯","中楼层(共11层)","2009年建板塔结合","2017.07.17","35345","188","房屋满两年","None","None"
83,"nj","高淳","https://nj.lianjia.com/chengjiao/103100795583.html","都市山庄","2室1厅","66.13平米","南 北","精装","无电梯","中楼层(共7层)","2000年建板楼","2017.02.27","30395","201","None","None","距2号线下马坊307米"
84,"nj","高淳","https://nj.lianjia.com/chengjiao/103100788022.html","都市山庄","2室1厅","79.31平米","南 北","精装","无电梯","中楼层(共7层)","2000年建板楼","2017.01.16","30009","238","房屋满两年","None","距2号线下马坊315米"
85,"nj","高淳","https://nj.lianjia.com/chengjiao/103100729523.html","都市山庄","2室1厅","49.97平米","南 北","其他","无电梯","低楼层(共7层)","2000年建板楼","2016.11.20","28217","141","房屋满两年","None","距2号线下马坊471米"
86,"nj","高淳","https://nj.lianjia.com/chengjiao/103101174943.html","龙湖文馨苑","1室1厅","51.26平米","南","简装","无电梯","低楼层(共6层)","2007年建板塔结合","2017.05.18","28288","145","房屋满五年","None","None"
87,"nj","高淳","https://nj.lianjia.com/chengjiao/103100679407.html","龙湖文馨苑","2室2厅","96.69平米","南 北","精装","有电梯","低楼层(共11层)","2007年建板塔结合","2017.04.18","25008","241.8","房屋满五年","None","None"
88,"nj","高淳","https://nj.lianjia.com/chengjiao/103101175996.html","双乐园小区","3室1厅","75.72平米","南 北","其他","有电梯","高楼层(共7层)","1998年建板楼","2017.05.25","25753","195","房屋满五年","None","距1号线三山街931米"
89,"nj","高淳","https://nj.lianjia.com/chengjiao/103101312033.html","双乐园小区","3室1厅","63.28平米","南 北","简装","无电梯","中楼层(共5层)","1997年建板楼","2017.05.17","26549","168","None","None","None"
90,"nj","高淳","https://nj.lianjia.com/chengjiao/103101968397.html","万达紫金明珠","2室2厅","84.96平米","南 北","精装","有电梯","中楼层(共9层)","2005年建板楼","2018.03.20","26719","227","None","None","None"
91,"nj","高淳","https://nj.lianjia.com/chengjiao/103101554088.html","万达紫金明珠","2室1厅","85.41平米","南","精装","有电梯","中楼层(共9层)","2005年建板楼","2018.03.19","26929","230","房屋满五年","None","None"
92,"nj","高淳","https://nj.lianjia.com/chengjiao/103102166974.html","万达紫金明珠","3室2厅","103.42平米","南 北","其他","有电梯","高楼层(共9层)","2005年建板楼","2018.03.17","27925","288.8","None","None","None"
93,"nj","高淳","https://nj.lianjia.com/chengjiao/103089629304.html","裕华名居","4室2厅","141.76平米","南 北","其他","有电梯","高楼层(共19层)","2000年建板楼","2015.12.06","22574","320","None","None","None"
94,"nj","高淳","https://nj.lianjia.com/chengjiao/NJGL88130152.html","裕华名居","3室2厅","117.27平米","南 北","其他","有电梯","中楼层(共11层)","板楼","2014.10.07","22001","258","房屋满五年","None","None"
95,"nj","高淳","https://nj.lianjia.com/chengjiao/103101095881.html","雅居乐花园","2室2厅","81.41平米","南","精装","有电梯","高楼层(共18层)","2009年建板塔结合","2017.06.27","48520","395","房屋满五年","None","距3号线雨花门1195米"
96,"nj","高淳","https://nj.lianjia.com/chengjiao/103100854629.html","雅居乐花园","2室1厅","55.59平米","北","精装","有电梯","高楼层(共11层)","2009年建板塔结合","2017.06.20","33927","188.6","房屋满五年","None","None"
97,"nj","高淳","https://nj.lianjia.com/chengjiao/103101003227.html","雅居乐花园","2室1厅","58.53平米","南","简装","有电梯","中楼层(共11层)","2009年建板塔结合","2017.06.15","36563","214","房屋满两年","None","None"
98,"nj","高淳","https://nj.lianjia.com/chengjiao/103100417502.html","都市山庄","2室1厅","64.27平米","南","其他","无电梯","高楼层(共7层)","2000年建板楼","2016.08.28","25673","165","None","None","距2号线下马坊471米"
99,"nj","高淳","https://nj.lianjia.com/chengjiao/103100051640.html","都市山庄","3室1厅","86.49平米","南 北","精装","无电梯","低楼层(共7层)","2000年建板楼","2016.01.31","22778","197","None","None","距2号线下马坊403米"
100,"nj","高淳","https://nj.lianjia.com/chengjiao/103090179150.html","都市名园","3室1厅","120平米","南 北","简装","有电梯","高楼层(共28层)","2005年建塔楼","2015.11.08","20500","246","房屋满五年","None","距2号线大行宫361米"
